
2025/11/18 (10:54:40) | ===> btop++ v.1.3.2
2025/11/18 (10:54:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/18 (10:56:57) | ===> btop++ v.1.3.2
2025/11/18 (10:56:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/18 (10:57:12) | ===> btop++ v.1.3.2
2025/11/18 (10:57:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/18 (10:57:45) | ===> btop++ v.1.3.2
2025/11/18 (10:57:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/18 (20:56:47) | ===> btop++ v.1.3.2
2025/11/18 (20:56:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/18 (21:04:58) | ===> btop++ v.1.3.2
2025/11/18 (21:04:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/20 (11:43:03) | ===> btop++ v.1.3.2
2025/11/20 (11:43:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/20 (14:03:04) | ===> btop++ v.1.3.2
2025/11/20 (14:03:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/26 (13:08:07) | ===> btop++ v.1.3.2
2025/11/26 (13:08:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
